,desc,perc,selectionID,sport,temp,time,topBottom,win
13,Major League Soccer: What will be the match result?,84.3,unselectable,Soccer,Warmer,2015-08-09 16:09:01,Bottom,Yes
14,MLB: Who will WIN this matchup?,82.7,unselectable,MLB,Cold,2015-08-09 16:10:00,Bottom,Yes
15,MLB: Who will WIN this matchup?,97.3,unselectable,MLB,Hot,2015-08-09 17:05:00,Bottom,Yes
16,WTA Stanford - Final (#4 Karolina Pliskova v. #5 Angelique Kerber): What will be the match result?,89.6,unselectable,Tennis,Hot,2015-08-09 17:10:00,Bottom,Yes
17,Major League Soccer: What will be the match result?,50.3,unselectable,Soccer,Warmer,2015-08-09 19:10:00,Top,No
18,MLB: Who will WIN this matchup?,62.6,unselectable,MLB,Warm,2015-08-09 20:00:00,Bottom,Yes
19,"NFL Hall of Fame Game (Canton, OH): Who will WIN this matchup?",55.6,unselectable,NFL,Warm,2015-08-09 20:11:00,Top,No
20,NFL Hall of Fame Game (Vikings v. Steelers): How many PASSING TOUCHDOWNS will be recorded in the 1st Half?,80.6,unselectable,NFL,Hot,2015-08-09 20:11:00,Bottom,Yes
21,NFL Hall of Fame Game (Vikings v. Steelers): What will be the LENGTH of the LONGEST TD of the 2nd HALF? (No OT),78.4,unselectable,NFL,Hot,2015-08-09 21:39:22,Top,No
0,WTA Rogers Cup - 1st Rd (Flavia Pennetta v. Gabriela Dabrowski): How many BREAKS of SERVE will OCCUR in the 1st Set?,71.3,unselectable,Tennis,Hot,2015-08-10 11:10:00,Bottom,Yes
1,"WTA Rogers Cup - 1st Rd (Toronto, Canada): Who will WIN the 1st Set?",91.4,unselectable,Tennis,Hot,2015-08-10 13:05:00,Top,No
2,"ATP Rogers Cup - 1st Rd (Montreal, Canada): Who will WIN this matchup?",81.1,unselectable,Tennis,Warm,2015-08-10 14:30:00,Bottom,Yes
3,English Premier League: What will be the match result?,96.3,unselectable,Soccer,Hot,2015-08-10 15:00:00,Top,No
4,ATP Rogers Cup - 1st Rd (Fabio Fognini v. #15 Gael Monfils): What will be the match result?,64.0,unselectable,Tennis,Warmer,2015-08-10 19:07:25,Bottom,Yes
